Nutrient,Min_Requirement,Max_Requirement
Nutrient_1,3831.3216979900144,8474.081720408822
Nutrient_2,2251.071300551254,8403.640809321823
Nutrient_3,2975.7785883880833,9619.196273393196
Nutrient_4,3284.8516141511313,9534.776337285644
Nutrient_5,3139.208222717284,9622.44098173716
Nutrient_6,3778.9886202270322,9514.680273247872
Nutrient_7,3368.0669113640115,8191.724091777546
Nutrient_8,3650.0662619868112,9765.756831722152
Nutrient_9,3324.2518214446904,8755.235097948189
Nutrient_10,2688.48694432908,8439.329026196081
Nutrient_11,2545.1675929687826,9135.133922398256
Nutrient_12,2699.922685824917,8691.729512668395
Nutrient_13,2816.356288431861,9419.739548712743
Nutrient_14,3653.61494700968,9389.237223957749
Nutrient_15,3421.87210154089,9700.214906469502
Nutrient_16,3653.6847288800896,9987.11711506056
Nutrient_17,3850.272792241618,9599.127860044873
Nutrient_18,3629.594317599238,8283.09794435478
Nutrient_19,3924.5551496580897,9525.285589913798
Nutrient_20,3899.722879108993,9133.799076771951
Nutrient_21,2641.9235685129706,9126.362481905497
Nutrient_22,2784.6141185626857,8674.491291249708
Nutrient_23,3150.411588865462,8321.465961667573
Nutrient_24,3381.0923926103014,8346.103882360843
Nutrient_25,2929.411341597417,8115.1990125460115
Nutrient_26,3575.53805704813,9610.699649898483
Nutrient_27,3264.013625702295,9487.896855968622
Nutrient_28,3191.7405579514007,9713.457215519422
Nutrient_29,2290.7902379830784,9408.286260098286
Nutrient_30,2342.6288614599257,8335.57200611735
Nutrient_31,2626.574458123185,9471.91803960639
Nutrient_32,3924.9500081101123,9115.703863072209
Nutrient_33,2152.42069601773,8217.345906631068
Nutrient_34,3920.5024754323767,9810.244699210643
Nutrient_35,2954.2144628320325,9804.63420532222
Nutrient_36,2871.92250638966,9255.728409335377
Nutrient_37,3693.7597278078338,8839.282439588158
Nutrient_38,3662.9522960220775,8475.84820642195
Nutrient_39,2267.9680176638753,8195.201051396038
Nutrient_40,3623.4887997947285,9611.998997833954
Nutrient_41,3021.406725003513,9933.506155715402
Nutrient_42,2646.254189674093,8028.081264246447
Nutrient_43,2216.7584583101752,8958.722573970088
Nutrient_44,3184.455476899147,8212.07157519613
Nutrient_45,3560.663011594029,8837.07808380071
Nutrient_46,3771.349031263281,9161.22558910867
Nutrient_47,3943.2382056125034,8858.201320531853
Nutrient_48,2246.37704222415,8034.446966158316
Nutrient_49,2793.5680007234523,9975.689535214951
Nutrient_50,2097.352919338274,9851.608520783491
Nutrient_51,3271.4879667901505,9544.746215474059
Nutrient_52,3775.339219288733,8801.361797711712
Nutrient_53,3374.5261377626202,9378.980362845923
Nutrient_54,2777.4182719674864,9419.536752918586
Nutrient_55,3519.8477119777244,8680.509282395396
Nutrient_56,3993.2258864435457,8079.373027918479
Nutrient_57,2002.2440787409323,9244.629034192032
Nutrient_58,3656.1116206619063,9896.16749054956
Nutrient_59,2652.5432337382827,9495.574579730926
Nutrient_60,3494.1329407993676,8455.974777260632
