Order ID,Product ID,Amount (kg),Order Confirm Date,Required Delivery Date
1005781,8908023,20000,,2020-07-30
1005998,8909373,6297,,2020-07-15
1005969,8908023,20000,2020-05-29,
1005969,8908023,20000,2020-05-29,
,,,,
1006069,8902635,10000,2020-06-16,2020-08-05
1005998,8909373,6500,2020-06-30,2020-09-10
1006067,8908023,21000,2020-06-22,2020-07-07
1006067,8908023,21000,2020-06-22,2020-07-14
1006067,8908023,10000,2020-06-22,2020-07-20
1006022,8902398,4000,2020-06-11,2020-07-16
1005969,8908023,20000,2020-06-29,2020-08-06
1005969,8908023,20000,2020-06-29,2020-08-10
1005969,8908023,20000,2020-06-29,2020-08-13
1005969,8908023,20000,2020-06-29,2020-08-18
1005969,8908023,20000,2020-06-29,2020-07-13
1005969,8908023,20000,2020-06-29,2020-07-17
1005969,8908023,20000,2020-06-29,2020-07-20
1005969,8908023,20000,2020-06-29,2020-07-24
1006018,8908748,20000,2020-06-16,2020-07-13
1006018,8908748,20000,2020-06-16,2020-07-17
1006018,8908748,20000,2020-06-16,2020-07-20
1006018,8908748,20000,2020-06-16,2020-07-24
1006018,8908748,20000,2020-06-16,2020-07-28
1006018,8908748,20000,2020-06-16,2020-08-01
1006018,8908748,20000,2020-06-16,2020-08-07
1004812,8908023,21000,2017-02-14,2017-03-20
1004812,8908023,21000,2017-02-14,2017-03-27
1004812,8908023,21000,2017-02-14,2017-04-03
1004484,8902635,22400,2017-02-27,2017-05-24
1004484,8902635,11200,2017-02-27,2017-06-01
1004484,8902635,22400,2017-02-27,2017-06-01
1004484,8902635,22400,2017-02-27,2017-06-13
1004547,8908112,20000,2017-02-27,2017-03-28
1004812,8908024,21000,2017-02-27,2017-04-19
1004812,8908023,21000,2017-02-27,2017-04-10
1004812,8908023,21000,2017-02-27,2017-04-19
1004812,8908023,21000,2017-02-27,2017-04-26
1005256,8906381,4920,2017-03-27,2017-06-10
1004886,8908672,19200,2017-04-10,2017-05-29
1004886,8908749,20000,2017-04-10,2017-05-08
1004886,8908749,20000,2017-04-10,2017-05-12
1004886,8908749,20000,2017-04-10,2017-05-19
1004886,8908749,20000,2017-04-10,2017-05-24
1004886,8908749,20000,2017-04-10,2017-05-26
1004548,8908023,21000,2017-05-10,2017-05-31
1004886,8908749,20000,2017-05-10,2017-06-05
1004886,8908749,20000,2017-05-10,2017-06-09
1004886,8908749,20000,2017-05-10,2017-06-14
1004886,8908749,20000,2017-05-10,2017-06-16
1004886,8908749,20000,2017-05-10,2017-06-21
1004886,8908749,20000,2017-05-10,2017-06-26
1004886,8908749,20000,2017-05-10,2017-06-26
1004577,8908023,21000,2017-05-11,2017-06-19
1004558,8908112,20133,2017-05-15,2017-06-21
1004558,8907133,6000,2017-05-15,2017-06-14
1004558,8908023,21000,2017-01-02,2017-02-08
1004558,8908023,21000,2017-01-02,2017-02-15
1004886,8908023,20000,2017-01-04,2017-02-10
1004886,8908023,20000,2017-01-04,2017-02-21
1004886,8908023,20000,2017-01-04,2017-02-28
1004886,8908748,20000,2017-01-04,2017-02-10
1004886,8908748,20000,2017-01-04,2017-02-17
1004886,8908748,20000,2017-01-04,2017-02-21
1004886,8908748,20000,2017-01-04,2017-02-28
1004886,8908748,20000,2017-01-04,2017-02-03
1004886,8908748,20000,2017-01-04,2017-02-24
1004886,8908672,20300,2017-01-04,2017-02-10
1004886,8908749,20000,2017-01-04,2017-02-22
1004886,8908749,20000,2017-01-04,2017-02-06
1004553,8908114,21000,2017-01-24,2017-03-01
1004553,8908114,21000,2017-01-24,2017-02-22
1004217,8905735,2350,2017-01-25,2017-03-23
1005256,8905735,1400,2017-02-21,2017-05-10
1004558,8908023,21000,2017-03-13,2017-04-25
1004558,8908023,14400,2017-03-13,2017-05-02
1004558,8907133,4500,2017-03-13,2017-04-18
1004553,8902635,21000,2017-03-27,2017-05-10
